Hour,Spaces_Left,Free Spaces  %,Occupancy,Working_Day,Holiday,Reading_Week,Study_Week,Exam_Week
15,8,3,97,1,0,0,0,0
16,10,4,96,1,0,0,0,0
17,130,55,45,1,0,0,0,0
18,200,85,15,1,0,0,0,0
19,210,89,11,1,0,0,0,0
20,210,89,11,1,0,0,0,0
21,210,89,11,1,0,0,0,0
22,210,89,11,1,0,0,0,0
23,210,89,11,1,0,0,0,0
0,210,89,11,1,0,0,0,0
1,210,89,11,1,0,0,0,0
2,210,89,11,1,0,0,0,0
3,210,89,11,1,0,0,0,0
4,210,89,11,1,0,0,0,0
5,210,89,11,1,0,0,0,0
6,160,68,32,1,0,0,0,0
7,80,34,66,1,0,0,0,0
8,30,13,87,1,0,0,0,0
9,15,6,94,1,0,0,0,0
10,10,4,96,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,0,0,100,1,0,0,0,0
14,3,1,99,1,0,0,0,0
15,10,4,96,1,0,0,0,0
16,30,13,87,1,0,0,0,0
17,80,34,66,1,0,0,0,0
18,205,87,13,1,0,0,0,0
19,220,94,6,1,0,0,0,0
20,223,95,5,1,0,0,0,0
21,223,95,5,1,0,0,0,0
22,223,95,5,1,0,0,0,0
23,223,95,5,1,0,0,0,0
0,223,95,5,1,0,0,0,0
1,223,95,5,1,0,0,0,0
2,223,95,5,1,0,0,0,0
3,223,95,5,1,0,0,0,0
4,223,95,5,1,0,0,0,0
5,223,95,5,1,0,0,0,0
6,223,95,5,1,0,0,0,0
7,190,81,19,1,0,0,0,0
8,120,51,49,1,0,0,0,0
9,30,13,87,1,0,0,0,0
10,18,8,92,1,0,0,0,0
11,5,2,98,1,0,0,0,0
12,2,1,99,1,0,0,0,0
13,1,0,100,1,0,0,0,0
14,0,0,100,1,0,0,0,0
15,4,2,98,1,0,0,0,0
16,13,6,94,1,0,0,0,0
17,80,34,66,1,0,0,0,0
18,112,48,52,1,0,0,0,0
19,207,88,12,1,0,0,0,0
20,218,93,7,1,0,0,0,0
21,218,93,7,1,0,0,0,0
22,218,93,7,1,0,0,0,0
23,218,93,7,1,0,0,0,0
0,218,93,7,1,0,0,0,0
1,218,93,7,1,0,0,0,0
2,218,93,7,1,0,0,0,0
3,218,93,7,1,0,0,0,0
4,218,93,7,1,0,0,0,0
5,218,93,7,1,0,0,0,0
6,170,72,28,1,0,0,0,0
7,120,51,49,1,0,0,0,0
8,32,14,86,1,0,0,0,0
9,20,9,91,1,0,0,0,0
10,0,0,100,1,0,0,0,0
11,0,0,100,1,0,0,0,0
12,0,0,100,1,0,0,0,0
13,0,0,100,1,0,0,0,0
14,3,1,99,1,0,0,0,0
15,4,2,98,1,0,0,0,0
16,11,5,95,1,0,0,0,0
17,80,34,66,1,0,0,0,0
18,208,89,11,1,0,0,0,0
19,212,90,10,1,0,0,0,0
20,226,96,4,1,0,0,0,0
21,226,96,4,1,0,0,0,0
22,226,96,4,1,0,0,0,0
23,226,96,4,1,0,0,0,0
0,226,96,4,0,1,0,0,0
1,226,96,4,0,1,0,0,0
2,226,96,4,0,1,0,0,0
3,226,96,4,0,1,0,0,0
4,226,96,4,0,1,0,0,0
5,226,96,4,0,1,0,0,0
6,198,84,16,0,1,0,0,0
7,170,72,28,0,1,0,0,0
8,110,47,53,0,1,0,0,0
9,110,47,53,0,1,0,0,0
10,80,34,66,0,1,0,0,0
11,80,34,66,0,1,0,0,0
12,80,34,66,0,1,0,0,0
13,80,34,66,0,1,0,0,0
14,85,36,64,0,1,0,0,0
15,90,38,62,0,1,0,0,0
16,92,39,61,0,1,0,0,0
17,180,77,23,0,1,0,0,0
18,210,89,11,0,1,0,0,0
19,225,96,4,0,1,0,0,0
20,225,96,4,0,1,0,0,0
21,225,96,4,0,1,0,0,0
22,225,96,4,0,1,0,0,0
23,225,96,4,0,1,0,0,0
0,225,96,4,0,1,0,0,0
1,225,96,4,0,1,0,0,0
2,225,96,4,0,1,0,0,0
3,225,96,4,0,1,0,0,0
4,225,96,4,0,1,0,0,0
5,225,96,4,0,1,0,0,0
6,218,93,7,0,1,0,0,0
7,190,81,19,0,1,0,0,0
8,180,77,23,0,1,0,0,0
9,170,72,28,0,1,0,0,0
10,170,72,28,0,1,0,0,0
11,170,72,28,0,1,0,0,0
12,170,72,28,0,1,0,0,0
13,170,72,28,0,1,0,0,0
14,170,72,28,0,1,0,0,0
15,170,72,28,0,1,0,0,0
16,190,81,19,0,1,0,0,0
17,210,89,11,0,1,0,0,0
18,230,98,2,0,1,0,0,0
19,230,98,2,0,1,0,0,0
20,230,98,2,0,1,0,0,0
21,230,98,2,0,1,0,0,0
22,230,98,2,0,1,0,0,0
23,230,98,2,0,1,0,0,0
0,230,98,2,1,0,0,0,0
1,230,98,2,1,0,0,0,0
2,230,98,2,1,0,0,0,0
3,230,98,2,1,0,0,0,0
4,230,98,2,1,0,0,0,0
5,230,98,2,1,0,0,0,0
6,180,77,23,1,0,0,0,0
7,160,68,32,1,0,0,0,0
8,40,17,83,1,0,0,0,0
9,20,9,91,1,0,0,0,0
